,title,Published,Likes,View,Comment,monthn
0,7 Enticing Jobs AI Will Create,2023-07-24,156,3329,33,Jul
1,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,121,3319,29,Jul
2,Exciting Announcement!,2023-06-23,285,6207,48,Jun
3,AI: A Customer Service Revolution?,2023-05-26,114,3381,35,May
4,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,661,17187,54,May
5,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,1112,25203,70,May
6,This AI question will determine our future,2023-04-06,257,4093,37,Apr
7,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,802,69880,77,Apr
8,Your current portfolio is actually hurting you #shorts,2023-03-30,290,5039,4,Mar
9,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,291,5283,3,Mar
10,you're job searching wrong. #shorts,2023-03-23,212,3507,3,Mar
11,The Economics of Data Roles #shorts,2023-03-21,369,5857,5,Mar
12,Why your phone knows everything you say #shorts,2023-03-18,116,2524,7,Mar
13,Read these for a successful career. #shorts,2023-03-16,215,2686,2,Mar
14,Is Your Phone Actually Listening to You? #shorts,2023-03-09,43,2286,5,Mar
15,How I Realized I Was a Bad Manager #shorts,2023-03-07,115,2441,1,Mar
16,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,723,19002,52,Mar
17,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,223,6495,9,Mar
18,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,152,2327,2,Feb
19,Learning On the companies dime #shorts,2023-02-24,166,2910,1,Feb
20,The Best Way to Transition to Data Science? #shorts,2023-02-21,238,3607,6,Feb
21,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,344,5885,6,Feb
22,Don't Go into Data for the Money #shorts,2023-02-15,215,3584,12,Feb
23,First Data Science Project? Watch This.,2023-02-13,318,5452,22,Feb
24,How to Approach Applying for a Data Role #shorts,2023-02-08,242,3584,7,Feb
25,The Hard Reality of Data Science Work #shorts,2023-02-06,645,10131,10,Feb
26,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,176,4201,6,Feb
